accuracy: 	0.78125	loss: 	0.4931662
accuracy: 	0.796875	loss: 	0.4650117
accuracy: 	0.84375	loss: 	0.51068383
accuracy: 	0.8125	loss: 	0.51218534
accuracy: 	0.859375	loss: 	0.38490742
accuracy: 	0.859375	loss: 	0.4451033
accuracy: 	0.828125	loss: 	0.54103255
accuracy: 	0.890625	loss: 	0.30532485
accuracy: 	0.828125	loss: 	0.5067041
accuracy: 	0.84375	loss: 	0.5054202
accuracy: 	0.859375	loss: 	0.33003363
accuracy: 	0.890625	loss: 	0.4002781
accuracy: 	0.84375	loss: 	0.49450165
accuracy: 	0.828125	loss: 	0.33730966
accuracy: 	0.859375	loss: 	0.37907475
accuracy: 	0.796875	loss: 	0.5986668
accuracy: 	0.890625	loss: 	0.2714243
accuracy: 	0.796875	loss: 	0.45833236
accuracy: 	0.875	loss: 	0.29538172
accuracy: 	0.859375	loss: 	0.3881814
accuracy: 	0.8125	loss: 	0.51255405
accuracy: 	0.828125	loss: 	0.39941508
accuracy: 	0.84375	loss: 	0.44866228
accuracy: 	0.890625	loss: 	0.35267735
accuracy: 	0.890625	loss: 	0.3233865
accuracy: 	0.796875	loss: 	0.50985503
accuracy: 	0.84375	loss: 	0.36680526
accuracy: 	0.8125	loss: 	0.4734041
accuracy: 	0.90625	loss: 	0.23263782
accuracy: 	0.859375	loss: 	0.36598283
accuracy: 	0.875	loss: 	0.28167745
accuracy: 	0.9375	loss: 	0.3080821
accuracy: 	0.859375	loss: 	0.41517454
accuracy: 	0.84375	loss: 	0.4330321
accuracy: 	0.921875	loss: 	0.25359422
accuracy: 	0.875	loss: 	0.2416105
accuracy: 	0.859375	loss: 	0.42195794
accuracy: 	0.90625	loss: 	0.26605523
accuracy: 	0.921875	loss: 	0.28691548
accuracy: 	0.828125	loss: 	0.3464983
accuracy: 	0.84375	loss: 	0.41170678
accuracy: 	0.84375	loss: 	0.3155422
accuracy: 	0.875	loss: 	0.34295398
accuracy: 	0.859375	loss: 	0.41888398
accuracy: 	0.90625	loss: 	0.2405886
accuracy: 	0.828125	loss: 	0.3903307
accuracy: 	0.890625	loss: 	0.42034116
accuracy: 	0.84375	loss: 	0.29265642
accuracy: 	0.828125	loss: 	0.47835347
accuracy: 	0.765625	loss: 	0.56586486
accuracy: 	0.84375	loss: 	0.39011955
accuracy: 	0.78125	loss: 	0.46557337
accuracy: 	0.828125	loss: 	0.4044891
accuracy: 	0.875	loss: 	0.30776262
accuracy: 	0.875	loss: 	0.3875208
accuracy: 	0.84375	loss: 	0.39376998
accuracy: 	0.75	loss: 	0.546371
